SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267298,284,20,7992,99,79,-28,132.4,0.08,-2.12,1
2,1768267298,274,4,8026,102,83,-25,132.4,0.1,-2.11,1
3,1768267298,264,0,7972,98,85,-29,139.59,0.1,-2.08,1
4,1768267298,306,-4,7946,97,87,-25,139.59,0.1,-2.13,1
5,1768267298,274,-22,7968,101,81,-29,139.59,0.07,-2.12,1
6,1768267298,294,6,8020,103,81,-25,139.59,0.09,-2.13,1
7,1768267298,274,-32,8020,100,85,-25,139.59,0.05,-2.12,1
8,1768267298,270,-36,8006,101,80,-25,139.59,0.01,-2.1,1
9,1768267298,266,20,7992,106,82,-20,139.59,0.06,-2.08,1
10,1768267298,294,-12,8010,103,83,-26,139.59,0.06,-2.1,1
11,1768267298,276,-22,7964,99,80,-25,139.59,0.04,-2.1,1
12,1768267298,284,2,8024,103,82,-27,139.59,0.06,-2.1,1
13,1768267298,272,-12,8000,97,80,-27,139.59,0.05,-2.09,1
14,1768267298,278,-52,8006,93,83,-24,139.59,0.0,-2.09,1
15,1768267298,306,-8,8034,103,81,-26,139.59,0.0,-2.13,1
16,1768267298,278,12,8030,105,83,-25,139.59,0.04,-2.12,1
17,1768267298,302,-46,7912,99,79,-29,139.59,0.0,-2.15,1
18,1768267298,282,-8,7994,100,80,-24,139.59,0.01,-2.14,1
19,1768267298,284,36,8000,102,82,-29,139.59,0.08,-2.14,1
20,1768267298,294,4,7964,102,83,-31,139.59,0.09,-2.15,1
21,1768267299,290,-8,8046,96,82,-26,139.59,0.09,-2.15,1
22,1768267299,280,14,8026,103,78,-27,139.59,0.11,-2.14,1
23,1768267299,302,10,7948,105,83,-25,139.59,0.13,-2.17,1
24,1768267299,282,-34,7970,96,80,-26,139.59,0.08,-2.16,1
25,1768267299,282,-8,7938,97,82,-27,139.59,0.07,-2.15,1
26,1768267299,258,0,7994,102,82,-27,139.59,0.08,-2.11,1
27,1768267299,262,6,8040,105,86,-25,139.59,0.1,-2.08,1
28,1768267299,300,-40,7994,99,78,-22,134.66,0.05,-2.11,1
29,1768267299,274,28,7982,100,83,-25,134.66,0.1,-2.1,1
30,1768267299,280,28,7990,100,83,-30,134.66,0.14,-2.1,1
31,1768267299,274,-4,8002,96,84,-24,134.66,0.13,-2.09,1
32,1768267299,290,4,7972,101,81,-24,134.66,0.13,-2.11,1
33,1768267299,274,14,7994,104,78,-24,134.66,0.15,-2.1,1
34,1768267299,252,-8,7994,101,82,-27,134.66,0.13,-2.06,1
35,1768267299,268,-26,8040,96,79,-25,134.66,0.09,-2.05,1
36,1768267299,294,44,8008,96,81,-23,134.66,0.16,-2.08,1
37,1768267299,268,-6,8046,102,83,-31,134.66,0.14,-2.06,1
38,1768267299,286,-56,8078,100,83,-26,134.66,0.06,-2.08,1
39,1768267299,256,52,8044,103,84,-24,134.66,0.14,-2.04,1
40,1768267299,236,30,7986,103,81,-28,134.66,0.18,-1.99,1
41,1768267299,268,-38,8038,91,80,-26,134.66,0.11,-1.99,1
42,1768267299,286,-12,8072,99,83,-29,134.66,0.1,-2.02,1
43,1768267299,270,24,8002,105,80,-24,134.66,0.14,-2.02,1
44,1768267299,262,10,8010,95,80,-28,134.66,0.15,-2.01,1
45,1768267299,256,-20,8030,101,78,-24,134.66,0.11,-1.99,1
46,1768267299,274,14,8052,103,82,-28,134.66,0.13,-2.0,1
47,1768267299,304,-8,7940,104,83,-26,134.66,0.12,-2.06,1
48,1768267299,262,-58,7998,98,78,-21,134.66,0.04,-2.04,1
49,1768267299,276,-10,8038,101,81,-27,134.66,0.04,-2.04,1
50,1768267299,242,20,8056,104,83,-30,134.66,0.08,-2.0,1
51,1768267299,280,-24,7910,105,82,-25,134.66,0.06,-2.02,1
52,1768267299,326,-16,7976,96,82,-23,134.66,0.04,-2.11,1
53,1768267299,256,18,8010,104,81,-27,151.19,0.09,-2.07,1
54,1768267299,230,-26,7960,101,85,-30,151.19,0.05,-2.01,1
55,1768267299,298,-18,8012,101,83,-26,151.19,0.04,-2.05,1
56,1768267299,288,2,7962,101,80,-23,151.19,0.06,-2.07,1
57,1768267299,286,-22,7984,103,83,-24,151.19,0.04,-2.09,1
58,1768267299,304,-20,8006,102,83,-27,151.19,0.03,-2.12,1
59,1768267299,262,0,8024,100,84,-27,151.19,0.05,-2.09,1
60,1768267299,252,-12,7990,102,80,-27,151.19,0.04,-2.05,1
61,1768267299,288,-56,7952,100,81,-28,151.19,-0.01,-2.08,1
62,1768267299,230,16,8004,99,74,-25,151.19,0.03,-2.01,1
63,1768267299,304,20,8002,103,83,-31,151.19,0.08,-2.06,1
64,1768267299,292,-50,7978,102,81,-21,151.19,0.01,-2.09,1
65,1768267299,276,8,8002,102,80,-23,151.19,0.05,-2.08,1
66,1768267299,248,18,7992,102,83,-26,151.19,0.09,-2.04,1
67,1768267299,280,-8,7964,100,80,-28,151.19,0.08,-2.05,1
68,1768267299,310,-24,8018,103,86,-25,151.19,0.05,-2.11,1
69,1768267299,274,66,8014,104,87,-25,151.19,0.16,-2.1,1
70,1768267299,280,-22,7988,99,82,-25,151.19,0.12,-2.1,1
71,1768267300,276,-44,8022,104,79,-23,151.19,0.06,-2.09,1
72,1768267300,274,18,8026,106,81,-25,151.19,0.1,-2.08,1
73,1768267300,244,-10,7994,99,79,-23,151.19,0.09,-2.03,1
74,1768267300,346,-38,7956,98,81,-23,151.19,0.04,-2.14,1
75,1768267300,240,-8,7966,102,82,-26,151.19,0.04,-2.08,1
76,1768267300,238,6,7998,101,80,-24,151.19,0.07,-2.02,1
77,1768267300,256,-42,7960,93,80,-31,151.19,0.01,-2.01,1
78,1768267300,314,4,7980,106,79,-23,130.72,0.04,-2.07,1
79,1768267300,290,20,7966,99,80,-24,130.72,0.09,-2.09,1
80,1768267300,272,-34,7994,99,76,-26,130.72,0.04,-2.08,1
81,1768267300,324,-14,7988,99,81,-25,130.72,0.04,-2.15,1
82,1768267300,254,-4,7950,95,79,-29,130.72,0.05,-2.1,1
83,1768267300,302,-10,7986,99,81,-29,130.72,0.05,-2.13,1
84,1768267300,252,28,8036,109,80,-29,130.72,0.1,-2.09,1
85,1768267300,242,-28,8060,102,84,-25,130.72,0.07,-2.03,1
86,1768267300,248,-32,8026,100,80,-28,130.72,0.03,-2.0,1
87,1768267300,276,28,8032,103,80,-26,130.72,0.09,-2.01,1
88,1768267300,272,-20,7974,98,83,-21,130.72,0.07,-2.02,1
89,1768267300,268,-10,7986,93,78,-26,130.72,0.06,-2.02,1
90,1768267300,268,46,8026,106,81,-28,130.72,0.14,-2.02,1
91,1768267300,274,-2,8034,105,85,-31,130.72,0.13,-2.02,1
92,1768267300,298,-34,8080,100,78,-25,130.72,0.08,-2.06,1
93,1768267300,260,16,7984,97,78,-29,130.72,0.11,-2.04,1
94,1768267300,306,-16,7944,97,79,-23,130.72,0.09,-2.09,1
95,1768267300,302,-12,7986,99,75,-29,130.72,0.08,-2.12,1
96,1768267300,274,4,7996,108,83,-25,130.72,0.09,-2.11,1
97,1768267300,242,-14,8048,102,84,-23,130.72,0.08,-2.05,1
98,1768267300,292,-54,8056,95,78,-28,130.72,0.01,-2.07,1
99,1768267300,260,-48,8022,101,80,-28,130.72,-0.03,-2.05,1
100,1768267300,302,-22,8000,98,76,-29,130.72,-0.03,-2.09,1
101,1768267300,304,-10,8022,99,75,-26,130.72,-0.01,-2.12,1
102,1768267300,258,16,8024,105,81,-23,130.72,0.03,-2.09,1
103,1768267300,264,-24,8024,99,81,-28,150.34,0.01,-2.06,1
104,1768267300,306,-18,8006,98,78,-27,150.34,0.01,-2.11,1
105,1768267300,258,-10,7970,101,80,-24,150.34,0.01,-2.08,1
106,1768267300,294,-12,7970,98,78,-31,150.34,0.02,-2.1,1
107,1768267300,302,-4,8034,97,78,-29,150.34,0.03,-2.13,1
108,1768267300,268,2,7992,102,92,-24,150.34,0.05,-2.11,1
109,1768267300,270,-48,7988,98,78,-23,150.34,0.0,-2.09,1
110,1768267300,296,-22,7978,102,79,-24,150.34,0.0,-2.12,1
111,1768267300,272,6,7962,103,79,-28,150.34,0.02,-2.1,1
112,1768267300,306,-24,8008,103,83,-26,150.34,0.01,-2.14,1
113,1768267300,262,28,8046,100,88,-24,150.34,0.07,-2.11,1
114,1768267300,260,-16,7994,105,86,-29,150.34,0.06,-2.08,1
115,1768267300,324,-48,7912,98,74,-23,150.34,0.0,-2.15,1
116,1768267300,270,2,8014,98,81,-27,150.34,0.03,-2.12,1
117,1768267300,284,44,8020,106,82,-26,150.34,0.11,-2.12,1
118,1768267300,266,-50,8000,95,83,-24,150.34,0.04,-2.1,1
119,1768267300,282,-2,7998,101,84,-28,150.34,0.05,-2.1,1
120,1768267300,258,-16,8008,101,84,-28,150.34,0.04,-2.07,1
121,1768267301,258,-10,7976,99,74,-27,150.34,0.04,-2.04,1
122,1768267301,286,28,8002,97,81,-27,150.34,0.1,-2.06,1
123,1768267301,274,-40,7980,100,78,-28,150.34,0.04,-2.06,1
124,1768267301,296,-30,7974,102,83,-21,150.34,0.02,-2.09,1
125,1768267301,264,10,8012,102,85,-26,150.34,0.05,-2.07,1
126,1768267301,300,-2,8040,102,84,-24,150.34,0.06,-2.1,1
127,1768267301,284,-4,7982,106,80,-27,150.34,0.07,-2.11,1
128,1768267301,260,-20,7970,100,79,-24,134.13,0.05,-2.08,1
