SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267328,264,18,8022,97,83,-28,129.76,0.12,-1.99,1
2,1768267328,260,6,8006,97,77,-23,129.76,0.13,-1.98,1
3,1768267328,302,24,8034,99,82,-25,141.02,0.16,-2.04,1
4,1768267328,272,22,7988,100,86,-25,141.02,0.18,-2.04,1
5,1768267328,310,-36,7980,98,80,-25,141.02,0.12,-2.1,1
6,1768267328,296,-10,7978,95,80,-29,141.02,0.1,-2.12,1
7,1768267328,268,26,8084,103,77,-24,141.02,0.14,-2.09,1
8,1768267328,280,4,7974,104,84,-25,141.02,0.14,-2.1,1
9,1768267328,264,-36,7958,95,82,-26,141.02,0.09,-2.08,1
10,1768267328,292,-52,8024,100,82,-30,141.02,0.02,-2.1,1
11,1768267328,234,34,7962,101,79,-25,141.02,0.09,-2.03,1
12,1768267328,248,-4,8018,106,85,-26,141.02,0.09,-2.0,1
13,1768267328,286,-12,8010,98,79,-25,141.02,0.08,-2.03,1
14,1768267328,282,-12,8054,95,81,-27,141.02,0.07,-2.04,1
15,1768267328,234,24,7998,100,83,-17,141.02,0.11,-1.99,1
16,1768267328,242,-34,7988,103,88,-25,141.02,0.06,-1.96,1
17,1768267328,286,0,7974,101,83,-27,141.02,0.08,-2.0,1
18,1768267328,274,-20,8026,100,80,-23,141.02,0.06,-2.01,1
19,1768267328,252,6,8028,105,79,-27,141.02,0.08,-1.98,1
20,1768267328,274,-10,8010,101,83,-27,141.02,0.07,-2.0,1
21,1768267329,288,-36,7960,100,78,-23,141.02,0.03,-2.03,1
22,1768267329,280,-18,8034,104,79,-26,141.02,0.02,-2.04,1
23,1768267329,272,16,7958,102,77,-23,141.02,0.06,-2.04,1
24,1768267329,254,-26,8000,102,75,-23,141.02,0.04,-2.02,1
25,1768267329,298,-46,8036,99,79,-28,141.02,0.0,-2.06,1
26,1768267329,278,-38,7984,101,80,-27,141.02,-0.03,-2.06,1
27,1768267329,256,10,8016,103,79,-21,141.02,0.01,-2.03,1
28,1768267329,260,10,8036,100,81,-22,143.52,0.04,-2.02,1
29,1768267329,262,-28,7992,101,77,-27,143.52,0.02,-2.01,1
30,1768267329,292,-28,8004,97,81,-29,143.52,0.0,-2.04,1
31,1768267329,286,-12,7994,94,82,-24,143.52,0.0,-2.06,1
32,1768267329,268,-24,7952,100,83,-27,143.52,0.0,-2.06,1
33,1768267329,278,18,7966,98,82,-26,143.52,0.04,-2.06,1
34,1768267329,278,-32,7966,98,71,-24,143.52,0.01,-2.07,1
35,1768267329,286,6,8030,102,80,-27,143.52,0.04,-2.08,1
36,1768267329,252,-18,8040,102,84,-19,143.52,0.03,-2.04,1
37,1768267329,314,8,7964,105,85,-19,143.52,0.06,-2.11,1
38,1768267329,302,-28,7990,105,86,-25,143.52,0.03,-2.14,1
39,1768267329,274,-8,7990,98,88,-30,143.52,0.04,-2.12,1
40,1768267329,282,-14,7992,101,74,-27,143.52,0.03,-2.12,1
41,1768267329,290,-32,7968,99,79,-20,143.52,0.0,-2.13,1
42,1768267329,298,-38,7956,98,83,-28,143.52,-0.02,-2.15,1
43,1768267329,260,-24,8016,100,76,-26,143.52,-0.02,-2.11,1
44,1768267329,298,-22,8042,101,77,-22,143.52,-0.02,-2.13,1
45,1768267329,292,-8,7988,98,79,-27,143.52,-0.01,-2.14,1
46,1768267329,290,-20,7982,95,83,-22,143.52,-0.01,-2.15,1
47,1768267329,314,8,7966,103,77,-25,143.52,0.02,-2.19,1
48,1768267329,268,-12,8016,104,82,-25,143.52,0.02,-2.15,1
49,1768267329,266,-10,7994,102,80,-23,143.52,0.03,-2.12,1
50,1768267329,294,0,7946,97,85,-21,143.52,0.05,-2.14,1
51,1768267329,282,18,8008,95,78,-26,143.52,0.08,-2.13,1
52,1768267329,280,-24,8038,101,82,-27,143.52,0.06,-2.13,1
53,1768267329,308,8,8076,101,83,-23,135.88,0.08,-2.16,1
54,1768267329,290,-54,7950,101,76,-22,135.88,0.01,-2.16,1
55,1768267329,266,-46,8030,96,80,-28,135.88,-0.02,-2.13,1
56,1768267329,304,-26,8052,100,79,-30,135.88,-0.03,-2.15,1
57,1768267329,280,52,7998,103,82,-30,135.88,0.07,-2.14,1
58,1768267329,280,-18,7964,95,82,-23,135.88,0.05,-2.13,1
59,1768267329,278,6,7982,96,79,-20,135.88,0.07,-2.13,1
60,1768267329,246,-2,8036,100,80,-24,135.88,0.08,-2.07,1
61,1768267329,258,-14,7988,101,78,-22,135.88,0.06,-2.04,1
62,1768267329,264,-62,7998,96,81,-23,135.88,0.0,-2.03,1
63,1768267329,294,-4,8058,99,77,-31,135.88,0.01,-2.06,1
64,1768267329,278,4,8012,97,78,-25,135.88,0.03,-2.06,1
65,1768267329,266,-2,7984,104,78,-28,135.88,0.05,-2.05,1
66,1768267329,290,-12,7970,97,75,-26,135.88,0.04,-2.08,1
67,1768267329,282,-8,7990,101,82,-23,135.88,0.05,-2.08,1
68,1768267329,224,0,8030,104,83,-24,135.88,0.06,-2.01,1
69,1768267329,274,34,7988,103,84,-21,135.88,0.12,-2.02,1
70,1768267329,264,-42,7926,101,79,-23,135.88,0.06,-2.01,1
71,1768267330,286,-16,8004,100,81,-28,135.88,0.05,-2.04,1
72,1768267330,298,6,8070,100,83,-22,135.88,0.07,-2.07,1
73,1768267330,280,30,8006,104,82,-25,135.88,0.12,-2.08,1
74,1768267330,270,-10,8016,97,83,-21,135.88,0.11,-2.07,1
75,1768267330,298,6,8050,100,85,-27,135.88,0.12,-2.1,1
76,1768267330,230,-44,8034,101,79,-26,135.88,0.06,-2.02,1
77,1768267330,246,-6,7986,106,83,-27,135.88,0.06,-1.99,1
78,1768267330,284,-38,7938,96,80,-27,142.9,0.02,-2.02,1
79,1768267330,268,-48,7974,100,81,-26,142.9,-0.02,-2.02,1
80,1768267330,262,30,8026,107,83,-23,142.9,0.04,-2.01,1
81,1768267330,272,-10,7972,99,85,-24,142.9,0.04,-2.02,1
82,1768267330,292,-16,7978,103,87,-24,142.9,0.04,-2.05,1
83,1768267330,276,-52,7996,102,79,-26,142.9,-0.01,-2.06,1
84,1768267330,282,-16,8002,99,85,-27,142.9,-0.01,-2.07,1
85,1768267330,208,28,7986,102,78,-28,142.9,0.05,-1.97,1
86,1768267330,258,-14,7948,99,84,-27,142.9,0.04,-1.97,1
87,1768267330,260,-2,8038,97,82,-31,142.9,0.05,-1.96,1
88,1768267330,270,12,8010,104,80,-25,142.9,0.08,-1.98,1
89,1768267330,266,68,8010,104,82,-29,142.9,0.19,-1.98,1
