SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267358,278,-10,7992,99,78,-27,139.48,0.05,-2.1,1
2,1768267358,256,-34,8012,100,84,-30,139.48,0.02,-2.07,1
3,1768267358,248,-16,8020,100,80,-25,144.36,0.02,-2.03,1
4,1768267358,282,0,8016,104,83,-22,144.36,0.04,-2.04,1
5,1768267358,258,-2,8054,107,85,-29,144.36,0.05,-2.02,1
6,1768267358,258,-18,7966,101,85,-27,144.36,0.04,-2.01,1
7,1768267358,284,-4,7982,99,85,-30,144.36,0.05,-2.03,1
8,1768267358,276,-8,7984,101,82,-28,144.36,0.05,-2.04,1
9,1768267358,256,-2,7928,106,88,-25,144.36,0.06,-2.02,1
10,1768267358,330,-22,7944,102,88,-29,144.36,0.04,-2.12,1
11,1768267358,302,4,8034,103,78,-33,144.36,0.06,-2.14,1
12,1768267358,244,72,8008,103,82,-32,144.36,0.18,-2.08,1
13,1768267358,252,-16,7994,101,81,-26,144.36,0.14,-2.04,1
14,1768267358,276,-54,8022,96,82,-21,144.36,0.06,-2.05,1
15,1768267358,282,12,8024,101,78,-25,144.36,0.09,-2.06,1
16,1768267358,316,-8,7946,103,81,-26,144.36,0.08,-2.12,1
17,1768267358,288,-20,7990,96,85,-22,144.36,0.06,-2.13,1
18,1768267358,246,-26,7976,101,80,-27,144.36,0.03,-2.08,1
19,1768267358,240,-12,8004,106,80,-29,144.36,0.04,-2.02,1
20,1768267358,286,-26,7966,102,85,-32,144.36,0.02,-2.05,1
21,1768267359,312,-4,8020,101,81,-28,144.36,0.03,-2.1,1
22,1768267359,262,14,8000,102,84,-29,144.36,0.07,-2.08,1
23,1768267359,288,12,8008,100,81,-26,144.36,0.09,-2.09,1
24,1768267359,320,-20,7992,96,78,-29,144.36,0.07,-2.15,1
25,1768267359,268,-10,8004,96,82,-31,144.36,0.06,-2.12,1
