SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267388,392,-52,8054,97,94,-18,135.6,0.02,-2.28,1
2,1768267388,296,-12,7970,104,92,-20,135.6,0.02,-2.27,1
3,1768267388,160,-2,7996,100,90,-26,133.26,0.04,-2.06,1
4,1768267388,170,2,8048,98,84,-27,133.26,0.06,-1.91,1
5,1768267388,194,66,8002,102,89,-26,133.26,0.16,-1.83,1
6,1768267388,274,-62,7986,98,81,-30,133.26,0.07,-1.87,1
7,1768267388,352,-44,7992,96,82,-31,133.26,0.01,-2.02,1
8,1768267388,298,-32,7966,97,85,-31,133.26,0.0,-2.07,1
9,1768267388,342,8,7970,100,75,-31,133.26,0.02,-2.16,1
10,1768267388,296,56,7962,103,87,-21,133.26,0.12,-2.18,1
11,1768267388,258,-36,8006,101,82,-22,133.26,0.07,-2.13,1
12,1768267388,226,-28,8022,100,84,-26,133.26,0.04,-2.05,1
13,1768267388,228,48,7968,97,81,-39,133.26,0.12,-1.98,1
14,1768267388,252,10,7984,98,70,-31,133.26,0.14,-1.96,1
15,1768267388,276,-10,7940,99,69,-27,133.26,0.12,-1.99,1
16,1768267388,308,-90,7974,97,71,-20,133.26,0.0,-2.05,1
17,1768267388,310,-40,8058,99,77,-25,133.26,-0.03,-2.1,1
18,1768267388,280,12,7994,102,81,-32,133.26,0.01,-2.1,1
19,1768267388,298,14,8022,105,84,-30,133.26,0.05,-2.12,1
20,1768267388,198,8,7972,101,82,-21,133.26,0.07,-2.0,1
21,1768267389,224,8,7990,96,80,-22,133.26,0.09,-1.94,1
22,1768267389,294,-4,8004,97,78,-28,133.26,0.09,-1.99,1
23,1768267389,368,4,8018,101,79,-41,133.26,0.1,-2.14,1
24,1768267389,368,44,7996,103,79,-31,133.26,0.17,-2.25,1
25,1768267389,316,30,7990,100,88,-25,133.26,0.2,-2.28,1
26,1768267389,268,-74,8032,99,81,-21,133.26,0.08,-2.22,1
27,1768267389,200,-38,7980,104,84,-23,133.26,0.03,-2.09,1
28,1768267389,176,-80,7998,101,82,-30,135.58,-0.05,-1.94,1
29,1768267389,192,2,7912,102,81,-32,135.58,-0.01,-1.85,1
