SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267318,304,-12,7926,99,79,-29,122.04,0.05,-2.2,1
2,1768267318,258,34,8032,100,87,-32,122.04,0.11,-2.15,1
3,1768267318,224,32,8052,100,82,-23,135.3,0.16,-2.05,1
4,1768267318,272,-22,7968,99,86,-23,135.3,0.12,-2.05,1
5,1768267318,274,-32,7982,100,81,-26,135.3,0.07,-2.06,1
6,1768267318,258,-58,8030,97,77,-32,135.3,0.0,-2.03,1
7,1768267318,268,40,8014,100,81,-32,135.3,0.08,-2.03,1
8,1768267318,308,18,8030,98,86,-26,135.3,0.11,-2.08,1
9,1768267318,294,-32,8050,99,87,-17,135.3,0.07,-2.1,1
10,1768267318,274,-34,7980,98,85,-20,135.3,0.03,-2.1,1
11,1768267318,216,22,7988,101,81,-30,135.3,0.08,-2.0,1
12,1768267318,270,38,7962,99,82,-33,135.3,0.14,-2.01,1
13,1768267318,274,0,7954,96,75,-25,135.3,0.13,-2.02,1
14,1768267318,334,-16,8000,103,81,-22,135.3,0.11,-2.11,1
15,1768267318,264,-12,8000,105,79,-27,135.3,0.09,-2.09,1
16,1768267318,278,44,7996,103,80,-24,135.3,0.16,-2.09,1
17,1768267318,280,-8,7960,101,77,-26,135.3,0.14,-2.09,1
18,1768267318,248,-8,8006,98,79,-22,135.3,0.13,-2.05,1
19,1768267318,244,-32,8024,96,77,-26,135.3,0.08,-2.0,1
20,1768267318,298,-20,7970,101,76,-30,135.3,0.06,-2.05,1
21,1768267319,276,4,8002,96,77,-32,135.3,0.07,-2.05,1
22,1768267319,282,18,7994,101,80,-25,135.3,0.11,-2.06,1
23,1768267319,310,-34,7982,105,84,-21,135.3,0.06,-2.12,1
24,1768267319,246,-40,7996,100,77,-21,135.3,0.02,-2.06,1
25,1768267319,244,8,7980,98,81,-30,135.3,0.05,-2.02,1
26,1768267319,256,-22,8008,99,81,-31,135.3,0.03,-2.0,1
27,1768267319,236,20,8000,94,83,-29,135.3,0.07,-1.96,1
28,1768267319,264,14,8010,99,81,-30,135.82,0.1,-1.96,1
29,1768267319,324,-32,8020,102,80,-25,135.82,0.06,-2.05,1
30,1768267319,266,10,7968,103,80,-27,135.82,0.09,-2.04,1
31,1768267319,244,-12,8032,101,79,-27,135.82,0.08,-2.0,1
32,1768267319,266,-8,7980,104,77,-28,135.82,0.07,-2.0,1
33,1768267319,240,-50,7996,100,79,-24,135.82,0.01,-1.96,1
34,1768267319,238,-36,8066,100,82,-26,135.82,-0.01,-1.93,1
35,1768267319,300,32,8008,96,82,-28,135.82,0.05,-1.99,1
36,1768267319,302,34,8010,96,78,-24,135.82,0.11,-2.04,1
37,1768267319,300,42,7964,99,77,-18,135.82,0.17,-2.08,1
38,1768267319,278,-4,7972,100,83,-24,135.82,0.16,-2.08,1
39,1768267319,248,-6,8066,99,81,-26,135.82,0.14,-2.04,1
40,1768267319,202,-14,8010,101,82,-31,135.82,0.12,-1.94,1
41,1768267319,272,6,7988,97,83,-29,135.82,0.12,-1.96,1
42,1768267319,260,-90,7956,99,79,-26,135.82,0.0,-1.96,1
43,1768267319,274,0,7996,98,77,-23,135.82,0.02,-1.98,1
44,1768267319,262,10,8048,107,81,-29,135.82,0.05,-1.97,1
45,1768267319,288,38,8024,107,84,-23,135.82,0.12,-2.01,1
46,1768267319,276,-68,7968,104,77,-25,135.82,0.02,-2.02,1
47,1768267319,258,-8,7990,100,79,-23,135.82,0.03,-2.01,1
48,1768267319,282,16,7980,97,81,-28,135.82,0.07,-2.03,1
49,1768267319,280,-16,7948,101,84,-31,135.82,0.06,-2.05,1
50,1768267319,324,-26,7988,101,78,-24,135.82,0.03,-2.12,1
51,1768267319,318,20,8046,109,78,-23,135.82,0.08,-2.17,1
52,1768267319,264,10,8020,103,84,-30,135.82,0.1,-2.13,1
53,1768267319,294,-40,7962,99,82,-29,140.8,0.05,-2.15,1
54,1768267319,290,-32,7978,99,79,-27,140.8,0.02,-2.15,1
55,1768267319,284,2,7982,100,76,-30,140.8,0.04,-2.15,1
56,1768267319,268,2,8000,103,81,-29,140.8,0.06,-2.12,1
57,1768267319,296,2,7990,101,83,-25,140.8,0.07,-2.14,1
58,1768267319,296,-60,7976,100,84,-28,140.8,0.0,-2.16,1
59,1768267319,292,-2,7998,96,76,-29,140.8,0.02,-2.16,1
60,1768267319,250,20,8016,96,81,-31,140.8,0.06,-2.1,1
61,1768267319,278,-12,7928,100,82,-26,140.8,0.06,-2.1,1
62,1768267319,300,-34,7968,95,79,-26,140.8,0.02,-2.13,1
63,1768267319,266,10,7984,101,79,-30,140.8,0.05,-2.11,1
