SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
84,1768267280,278,-18,8044,96,80,-28,122.91,0.05,-2.08,1
85,1768267280,230,12,8016,101,82,-29,122.91,0.08,-2.01,1
86,1768267280,292,-20,7990,96,83,-24,122.91,0.06,-2.05,1
87,1768267280,292,-42,7978,101,80,-26,122.91,0.01,-2.08,1
88,1768267280,294,24,7994,103,80,-27,122.91,0.07,-2.1,1
89,1768267280,234,16,8036,99,84,-26,122.91,0.1,-2.03,1
90,1768267280,260,40,7984,99,81,-25,122.91,0.16,-2.02,1
91,1768267280,272,20,8024,98,82,-25,122.91,0.18,-2.02,1
92,1768267280,288,-4,8002,102,81,-23,122.91,0.16,-2.05,1
93,1768267280,242,20,8056,104,84,-29,122.91,0.18,-2.0,1
94,1768267280,248,-8,8008,100,83,-29,122.91,0.16,-1.98,1
95,1768267280,292,-18,7972,93,80,-28,122.91,0.12,-2.02,1
96,1768267280,286,-16,7994,96,78,-28,122.91,0.1,-2.04,1
97,1768267280,252,0,8004,100,84,-25,122.91,0.1,-2.01,1
98,1768267280,264,42,7968,98,80,-26,122.91,0.16,-2.01,1
99,1768267280,244,10,7994,100,85,-25,122.91,0.17,-1.98,1
100,1768267280,272,8,7996,103,83,-24,122.91,0.17,-1.99,1
101,1768267280,216,-6,8014,104,78,-30,122.91,0.15,-1.92,1
102,1768267280,234,8,7964,100,83,-26,122.91,0.16,-1.89,1
103,1768267280,272,-30,7978,101,79,-29,135.44,0.11,-1.92,1
104,1768267280,312,20,8010,93,79,-24,135.44,0.14,-2.0,1
105,1768267280,280,16,8056,98,82,-29,135.44,0.15,-2.02,1
106,1768267280,262,16,8058,100,82,-28,135.44,0.17,-2.01,1
107,1768267280,270,2,7918,96,76,-28,135.44,0.16,-2.01,1
108,1768267280,264,-30,8004,99,77,-22,135.44,0.11,-2.01,1
109,1768267280,266,8,8038,99,79,-27,135.44,0.12,-2.0,1
110,1768267280,240,6,8030,100,80,-26,135.44,0.13,-1.96,1
111,1768267280,274,-8,7984,100,80,-32,135.44,0.12,-1.98,1
112,1768267280,310,-18,7986,94,80,-29,135.44,0.09,-2.05,1
113,1768267280,270,-36,7984,102,79,-25,135.44,0.04,-2.04,1
114,1768267280,270,14,7986,103,86,-27,135.44,0.08,-2.04,1
115,1768267280,284,2,7936,101,89,-25,135.44,0.09,-2.07,1
116,1768267280,288,10,7950,96,78,-27,135.44,0.11,-2.09,1
117,1768267280,294,-4,7992,102,85,-28,135.44,0.1,-2.11,1
118,1768267280,278,50,8006,102,81,-28,135.44,0.18,-2.1,1
119,1768267280,294,-2,7996,101,83,-28,135.44,0.16,-2.12,1
120,1768267280,290,-44,7936,99,80,-22,135.44,0.09,-2.14,1
121,1768267281,258,-48,8030,99,78,-21,135.44,0.03,-2.09,1
122,1768267281,262,48,7976,104,82,-25,135.44,0.12,-2.07,1
123,1768267281,274,18,7964,102,79,-29,135.44,0.14,-2.07,1
124,1768267281,288,-4,7990,98,79,-29,135.44,0.13,-2.09,1
125,1768267281,302,14,7976,100,77,-26,135.44,0.15,-2.12,1
126,1768267281,260,42,8036,103,80,-31,135.44,0.2,-2.09,1
127,1768267281,256,8,7990,104,82,-30,135.44,0.2,-2.05,1
128,1768267281,300,-26,7986,101,78,-25,133.36,0.14,-2.09,1
129,1768267281,280,-8,8024,99,77,-26,133.36,0.13,-2.09,1
130,1768267281,256,2,7998,103,80,-26,133.36,0.13,-2.06,1
131,1768267281,250,-18,7964,97,83,-27,133.36,0.1,-2.03,1
132,1768267281,294,-26,7950,99,80,-28,133.36,0.07,-2.06,1
133,1768267281,330,18,8052,98,78,-24,133.36,0.1,-2.14,1
134,1768267281,304,12,8016,100,82,-27,133.36,0.12,-2.16,1
135,1768267281,264,40,7998,103,81,-22,133.36,0.18,-2.13,1
136,1768267281,274,-4,7960,99,85,-28,133.36,0.16,-2.12,1
137,1768267281,280,0,7970,98,77,-26,133.36,0.15,-2.11,1
138,1768267281,246,14,8008,100,79,-24,133.36,0.16,-2.06,1
139,1768267281,274,38,8002,106,82,-23,133.36,0.21,-2.06,1
140,1768267281,272,-4,7982,97,77,-28,133.36,0.19,-2.06,1
141,1768267281,314,-4,7982,98,81,-27,133.36,0.17,-2.11,1
142,1768267281,256,4,8056,100,81,-25,133.36,0.16,-2.07,1
143,1768267281,246,14,7952,105,77,-24,133.36,0.17,-2.03,1
