SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267348,304,-18,8034,101,82,-29,131.74,0.03,-2.15,1
2,1768267348,282,18,8034,100,79,-26,131.74,0.07,-2.14,1
3,1768267348,284,-40,7956,97,81,-26,145.11,0.02,-2.14,1
4,1768267348,286,-24,8032,97,75,-29,145.11,0.01,-2.14,1
5,1768267348,294,6,7972,105,80,-25,145.11,0.04,-2.15,1
6,1768267348,308,-10,8052,103,83,-22,145.11,0.04,-2.18,1
7,1768267348,312,10,7958,96,75,-23,145.11,0.07,-2.21,1
8,1768267348,262,-32,8014,101,79,-34,145.11,0.03,-2.16,1
9,1768267348,264,-12,8014,102,81,-27,145.11,0.03,-2.12,1
10,1768267348,276,-6,7932,104,82,-28,145.11,0.04,-2.12,1
11,1768267348,264,-8,7964,98,80,-26,145.11,0.05,-2.09,1
12,1768267348,290,16,7982,99,74,-25,145.11,0.08,-2.11,1
13,1768267348,258,-4,8052,103,84,-25,145.11,0.08,-2.07,1
14,1768267348,258,8,8012,106,82,-26,145.11,0.1,-2.05,1
15,1768267348,286,-8,7974,101,78,-26,145.11,0.1,-2.07,1
16,1768267348,288,-38,8002,100,81,-24,145.11,0.05,-2.08,1
17,1768267348,272,-30,7976,99,79,-27,145.11,0.02,-2.08,1
18,1768267348,254,-4,8006,104,81,-27,145.11,0.03,-2.04,1
19,1768267348,272,22,7952,103,82,-33,145.11,0.08,-2.04,1
20,1768267348,272,-28,7968,104,80,-23,145.11,0.05,-2.05,1
21,1768267349,248,-44,8018,98,81,-27,145.11,0.0,-2.01,1
22,1768267349,302,8,8010,99,80,-22,145.11,0.03,-2.06,1
23,1768267349,300,20,7982,103,79,-24,145.11,0.08,-2.1,1
24,1768267349,280,6,7926,99,82,-23,145.11,0.1,-2.1,1
25,1768267349,292,-14,7976,100,78,-24,145.11,0.08,-2.12,1
26,1768267349,274,-2,7982,98,75,-27,145.11,0.08,-2.1,1
27,1768267349,254,10,8018,101,81,-27,145.11,0.11,-2.07,1
28,1768267349,254,0,7974,97,83,-27,130.5,0.11,-2.04,1
29,1768267349,266,-50,8022,101,89,-25,130.5,0.04,-2.03,1
30,1768267349,266,2,8024,99,82,-25,130.5,0.06,-2.02,1
31,1768267349,290,24,8042,102,84,-26,130.5,0.1,-2.05,1
32,1768267349,300,-12,7980,104,82,-29,130.5,0.09,-2.09,1
33,1768267349,274,-50,8004,95,81,-25,130.5,0.02,-2.08,1
34,1768267349,270,-22,8056,102,80,-27,130.5,0.01,-2.07,1
35,1768267349,276,18,7984,103,84,-30,130.5,0.06,-2.07,1
36,1768267349,264,-28,8016,101,83,-25,130.5,0.03,-2.05,1
37,1768267349,280,-18,8008,99,82,-22,130.5,0.02,-2.06,1
38,1768267349,310,-22,8006,100,83,-26,130.5,0.01,-2.11,1
39,1768267349,272,2,8018,105,77,-27,130.5,0.04,-2.1,1
40,1768267349,286,2,7972,98,83,-22,130.5,0.05,-2.11,1
41,1768267349,290,12,8008,95,79,-27,130.5,0.08,-2.12,1
42,1768267349,300,-36,8068,102,79,-25,130.5,0.04,-2.14,1
43,1768267349,276,-12,8006,105,81,-24,130.5,0.04,-2.13,1
44,1768267349,242,-14,7978,101,83,-21,130.5,0.03,-2.07,1
45,1768267349,312,-8,7996,96,77,-24,130.5,0.04,-2.12,1
46,1768267349,278,12,8060,100,81,-26,130.5,0.07,-2.11,1
47,1768267349,260,30,8014,102,82,-27,130.5,0.12,-2.08,1
48,1768267349,288,8,7954,104,81,-23,130.5,0.13,-2.1,1
49,1768267349,266,-20,7976,95,83,-25,130.5,0.1,-2.08,1
50,1768267349,308,-20,8058,95,76,-28,130.5,0.07,-2.12,1
51,1768267349,244,0,7962,101,81,-23,130.5,0.08,-2.06,1
52,1768267349,254,-16,7930,103,82,-29,130.5,0.07,-2.04,1
53,1768267349,280,-50,7934,95,77,-27,143.69,0.0,-2.05,1
54,1768267349,288,6,7992,100,76,-24,143.69,0.04,-2.07,1
55,1768267349,272,24,8000,101,83,-23,143.69,0.09,-2.07,1
56,1768267349,276,34,7974,102,80,-28,143.69,0.14,-2.07,1
57,1768267349,324,-50,8010,100,76,-26,143.69,0.07,-2.14,1
58,1768267349,290,-28,8030,99,79,-27,143.69,0.04,-2.14,1
59,1768267349,288,-16,8026,104,83,-25,143.69,0.03,-2.14,1
60,1768267349,238,14,7954,105,87,-24,143.69,0.07,-2.08,1
61,1768267349,260,-24,8008,98,82,-27,143.69,0.04,-2.05,1
62,1768267349,296,-10,8040,98,76,-31,143.69,0.04,-2.08,1
63,1768267349,266,0,8022,101,87,-25,143.69,0.06,-2.07,1
64,1768267349,246,26,7922,103,82,-25,143.69,0.11,-2.03,1
65,1768267349,256,-10,7974,96,81,-27,143.69,0.09,-2.01,1
66,1768267349,288,-16,8026,97,80,-25,143.69,0.08,-2.04,1
67,1768267349,296,48,8004,101,79,-25,143.69,0.15,-2.07,1
68,1768267349,226,16,7974,99,84,-28,143.69,0.17,-2.0,1
69,1768267349,296,-40,7962,94,84,-25,143.69,0.1,-2.05,1
70,1768267349,306,-24,7978,102,76,-24,143.69,0.07,-2.09,1
71,1768267350,264,24,8038,101,82,-24,143.69,0.11,-2.07,1
72,1768267350,240,-4,7962,100,82,-21,143.69,0.11,-2.02,1
73,1768267350,282,-10,7974,96,79,-25,143.69,0.09,-2.04,1
74,1768267350,306,-12,8000,100,76,-28,143.69,0.08,-2.09,1
75,1768267350,244,4,8066,98,80,-26,143.69,0.09,-2.04,1
76,1768267350,256,42,7984,105,82,-24,143.69,0.16,-2.01,1
77,1768267350,290,-30,7994,98,85,-28,143.69,0.11,-2.05,1
78,1768267350,300,-68,8036,97,80,-27,138.58,0.01,-2.08,1
79,1768267350,292,-16,8034,105,81,-27,138.58,0.01,-2.1,1
80,1768267350,272,40,7998,102,81,-26,138.58,0.09,-2.09,1
81,1768267350,300,-18,7910,101,82,-29,138.58,0.07,-2.13,1
82,1768267350,296,2,7946,98,77,-28,138.58,0.08,-2.14,1
83,1768267350,264,28,8028,104,80,-26,138.58,0.13,-2.11,1
84,1768267350,280,18,8002,107,83,-28,138.58,0.15,-2.11,1
85,1768267350,286,4,7982,95,76,-29,138.58,0.15,-2.12,1
86,1768267350,278,-20,7964,98,81,-27,138.58,0.12,-2.11,1
87,1768267350,294,-4,8014,103,76,-21,138.58,0.11,-2.13,1
88,1768267350,272,4,8024,104,84,-27,138.58,0.12,-2.11,1
89,1768267350,270,-2,7970,98,81,-22,138.58,0.12,-2.09,1
90,1768267350,308,-24,8028,98,80,-26,138.58,0.08,-2.13,1
91,1768267350,286,6,8006,95,78,-23,138.58,0.1,-2.13,1
92,1768267350,284,4,8012,104,79,-28,138.58,0.11,-2.13,1
93,1768267350,282,-4,7940,102,81,-24,138.58,0.1,-2.13,1
94,1768267350,274,-26,7984,102,80,-26,138.58,0.07,-2.12,1
95,1768267350,290,6,8074,106,81,-23,138.58,0.09,-2.12,1
96,1768267350,308,12,7978,104,81,-26,138.58,0.11,-2.16,1
97,1768267350,240,0,7970,102,81,-24,138.58,0.11,-2.09,1
98,1768267350,288,-40,8006,97,77,-25,138.58,0.06,-2.1,1
99,1768267350,296,-34,8028,99,77,-23,138.58,0.02,-2.12,1
100,1768267350,266,8,7992,100,80,-26,138.58,0.05,-2.1,1
101,1768267350,268,-2,8002,103,81,-25,138.58,0.06,-2.08,1
102,1768267350,226,-44,8002,98,85,-22,138.58,0.01,-2.01,1
103,1768267350,278,-8,7974,98,78,-27,135.41,0.02,-2.02,1
104,1768267350,250,12,7986,101,80,-24,135.41,0.06,-2.0,1
105,1768267350,264,-26,7994,100,82,-15,135.41,0.03,-1.99,1
106,1768267350,282,-32,8006,101,80,-26,135.41,0.0,-2.02,1
107,1768267350,284,0,7994,99,79,-29,135.41,0.03,-2.04,1
108,1768267350,266,10,8040,105,80,-26,135.41,0.06,-2.03,1
109,1768267350,290,-28,7958,99,82,-23,135.41,0.03,-2.06,1
110,1768267350,272,-20,7982,96,84,-23,135.41,0.02,-2.06,1
111,1768267350,302,-10,8028,99,82,-29,135.41,0.02,-2.1,1
112,1768267350,252,6,7980,100,77,-28,135.41,0.05,-2.06,1
113,1768267350,282,8,8016,103,83,-26,135.41,0.08,-2.07,1
114,1768267350,284,-34,7992,98,82,-24,135.41,0.04,-2.08,1
115,1768267350,272,0,8012,99,77,-25,135.41,0.05,-2.07,1
116,1768267350,282,-8,8012,101,81,-25,135.41,0.05,-2.08,1
117,1768267350,260,12,7964,104,80,-25,135.41,0.08,-2.06,1
118,1768267350,270,12,8016,101,71,-27,135.41,0.11,-2.05,1
119,1768267350,308,-16,8070,101,74,-24,135.41,0.09,-2.09,1
120,1768267350,290,-6,7982,106,80,-27,135.41,0.09,-2.11,1
121,1768267351,262,4,8042,99,81,-28,135.41,0.1,-2.08,1
122,1768267351,258,-8,7954,101,79,-26,135.41,0.09,-2.05,1
123,1768267351,280,8,7986,99,75,-31,135.41,0.11,-2.06,1
124,1768267351,264,34,8014,100,80,-29,135.41,0.16,-2.04,1
125,1768267351,290,-30,7974,106,80,-25,135.41,0.11,-2.07,1
126,1768267351,280,-18,7950,100,79,-26,135.41,0.08,-2.08,1
127,1768267351,324,-26,8010,101,80,-25,135.41,0.05,-2.14,1
128,1768267351,230,26,8040,103,77,-26,140.61,0.1,-2.06,1
129,1768267351,292,-22,8036,99,76,-25,140.61,0.08,-2.08,1
130,1768267351,266,-6,7990,102,80,-26,140.61,0.08,-2.07,1
131,1768267351,314,-44,8004,100,79,-27,140.61,0.02,-2.12,1
132,1768267351,306,-24,8006,98,82,-28,140.61,0.01,-2.15,1
133,1768267351,286,12,7968,101,81,-28,140.61,0.05,-2.15,1
134,1768267351,280,-10,8018,101,84,-28,140.61,0.05,-2.14,1
135,1768267351,268,-34,8010,98,84,-25,140.61,0.01,-2.12,1
136,1768267351,292,20,8014,94,80,-25,140.61,0.06,-2.13,1
137,1768267351,288,4,8024,98,81,-24,140.61,0.08,-2.13,1
138,1768267351,254,-14,7956,99,81,-20,140.61,0.06,-2.09,1
139,1768267351,298,-8,7984,101,80,-27,140.61,0.06,-2.12,1
140,1768267351,280,16,8004,103,76,-23,140.61,0.1,-2.11,1
141,1768267351,266,2,7960,101,84,-23,140.61,0.1,-2.09,1
142,1768267351,274,-14,7962,97,84,-24,140.61,0.09,-2.09,1
143,1768267351,238,-14,7978,98,78,-26,140.61,0.07,-2.03,1
144,1768267351,300,8,8034,98,81,-25,140.61,0.09,-2.07,1
145,1768267351,248,-4,8030,99,86,-26,140.61,0.09,-2.03,1
146,1768267351,250,24,8080,98,82,-25,140.61,0.13,-2.0,1
147,1768267351,282,-28,8034,103,77,-22,140.61,0.09,-2.02,1
148,1768267351,280,6,7990,100,78,-24,140.61,0.1,-2.03,1
149,1768267351,260,12,8018,100,79,-31,140.61,0.12,-2.02,1
150,1768267351,298,36,8010,99,81,-23,140.61,0.17,-2.06,1
151,1768267351,282,-10,7980,97,83,-25,140.61,0.15,-2.07,1
152,1768267351,288,-28,7990,98,78,-24,140.61,0.1,-2.09,1
153,1768267351,256,-6,8000,101,77,-19,143.79,0.1,-2.05,1
154,1768267351,272,-16,8026,99,80,-22,143.79,0.08,-2.05,1
155,1768267351,272,-30,7998,100,78,-26,143.79,0.04,-2.05,1
156,1768267351,298,-2,7980,102,80,-29,143.79,0.05,-2.08,1
157,1768267351,294,-18,8032,101,81,-27,143.79,0.04,-2.11,1
158,1768267351,262,-18,7998,101,82,-22,143.79,0.03,-2.08,1
159,1768267351,290,-6,7916,103,80,-23,143.79,0.04,-2.1,1
160,1768267351,266,-8,7972,101,80,-29,143.79,0.04,-2.08,1
161,1768267351,262,-14,8038,101,79,-28,143.79,0.04,-2.06,1
162,1768267351,258,16,8032,104,79,-26,143.79,0.08,-2.03,1
163,1768267351,238,20,8008,101,85,-25,143.79,0.12,-1.99,1
164,1768267351,280,-6,7896,102,79,-29,143.79,0.11,-2.01,1
165,1768267351,280,-14,8036,99,83,-28,143.79,0.09,-2.03,1
166,1768267351,278,-2,8018,103,83,-28,143.79,0.09,-2.04,1
167,1768267351,256,6,8004,102,83,-29,143.79,0.11,-2.02,1
168,1768267351,308,10,8000,98,79,-27,143.79,0.12,-2.07,1
169,1768267351,290,-22,8028,101,80,-31,143.79,0.09,-2.09,1
170,1768267351,302,14,8036,99,82,-26,143.79,0.12,-2.12,1
171,1768267352,280,-2,8018,98,82,-22,143.79,0.11,-2.12,1
172,1768267352,288,-32,7990,99,77,-24,143.79,0.07,-2.12,1
173,1768267352,284,22,8028,100,81,-28,143.79,0.11,-2.12,1
174,1768267352,252,-8,8046,102,80,-26,143.79,0.1,-2.08,1
175,1768267352,254,14,8024,103,85,-27,143.79,0.12,-2.04,1
176,1768267352,304,4,7982,97,80,-30,143.79,0.13,-2.09,1
177,1768267352,272,-6,8040,101,79,-27,143.79,0.12,-2.08,1
178,1768267352,290,-36,8038,105,77,-23,147.95,0.07,-2.09,1
179,1768267352,240,16,8012,95,80,-26,147.95,0.1,-2.04,1
180,1768267352,308,14,7968,97,79,-27,147.95,0.12,-2.09,1
181,1768267352,274,-34,7972,98,75,-29,147.95,0.07,-2.08,1
182,1768267352,210,-16,8018,98,81,-26,147.95,0.06,-1.99,1
183,1768267352,258,-2,7990,99,79,-23,147.95,0.07,-1.98,1
184,1768267352,308,4,7984,100,83,-23,147.95,0.08,-2.04,1
185,1768267352,294,-12,8000,96,79,-23,147.95,0.07,-2.07,1
186,1768267352,-306,-58,8774,106,89,-26,147.95,0.01,-1.28,1
187,1768267352,-1898,92,9020,109,94,-29,147.95,0.14,1.32,1
188,1768267352,1088,12,7266,112,75,-29,147.95,0.16,-0.66,1
189,1768267352,454,-4,7406,105,85,-24,147.95,0.15,-1.25,1
190,1768267352,310,20,7836,103,74,-25,147.95,0.17,-1.47,1
191,1768267352,582,2,7740,98,80,-24,147.95,0.16,-2.05,1
192,1768267352,256,4,7940,101,84,-25,147.95,0.16,-2.03,1
193,1768267352,230,-12,7994,103,80,-22,147.95,0.13,-1.97,1
194,1768267352,322,-54,7988,103,71,-26,147.95,0.05,-2.06,1
195,1768267352,302,38,8008,103,76,-24,147.95,0.12,-2.09,1
196,1768267352,284,20,8036,102,84,-22,147.95,0.15,-2.1,1
197,1768267352,268,-6,7998,98,77,-28,147.95,0.13,-2.08,1
198,1768267352,282,-8,8004,100,75,-25,147.95,0.12,-2.09,1
