SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267378,296,-14,7980,102,86,-26,142.42,0.1,-2.11,1
2,1768267378,266,20,7992,103,80,-27,142.42,0.13,-2.09,1
3,1768267378,282,-26,7966,102,81,-28,127.76,0.09,-2.09,1
4,1768267378,268,-26,8020,99,80,-22,127.76,0.06,-2.08,1
5,1768267378,270,36,7964,106,87,-29,127.76,0.12,-2.07,1
6,1768267378,284,-8,7998,99,79,-21,127.76,0.11,-2.08,1
7,1768267378,276,0,7992,98,73,-25,127.76,0.11,-2.08,1
8,1768267378,272,10,7960,103,85,-25,127.76,0.13,-2.07,1
9,1768267378,288,-38,8044,97,85,-24,127.76,0.07,-2.09,1
10,1768267378,282,12,8042,99,79,-23,127.76,0.1,-2.09,1
11,1768267378,250,16,8000,106,85,-26,127.76,0.13,-2.05,1
12,1768267378,262,-20,7998,96,82,-33,127.76,0.09,-2.03,1
13,1768267378,302,36,7988,102,80,-24,127.76,0.15,-2.08,1
14,1768267378,258,0,8018,102,82,-32,127.76,0.14,-2.05,1
15,1768267378,314,-20,8006,96,78,-20,127.76,0.11,-2.11,1
16,1768267378,256,20,7946,107,83,-24,127.76,0.14,-2.07,1
17,1768267378,258,4,8046,102,89,-26,127.76,0.14,-2.05,1
18,1768267378,284,-12,7990,97,83,-24,127.76,0.12,-2.06,1
19,1768267378,266,22,8018,104,81,-30,127.76,0.15,-2.05,1
20,1768267378,264,-8,7986,97,82,-29,127.76,0.13,-2.04,1
21,1768267379,250,-24,8036,96,75,-30,127.76,0.09,-2.0,1
22,1768267379,256,-22,7990,103,86,-31,127.76,0.07,-1.99,1
23,1768267379,308,-22,7950,98,78,-22,127.76,0.05,-2.05,1
24,1768267379,260,-24,8014,101,79,-27,127.76,0.03,-2.03,1
25,1768267379,266,24,7966,104,81,-28,127.76,0.08,-2.03,1
26,1768267379,304,-44,8010,95,83,-24,127.76,0.02,-2.08,1
27,1768267379,250,-18,8044,95,82,-30,127.76,0.02,-2.04,1
28,1768267379,224,6,7992,106,90,-30,141.09,0.05,-1.97,1
29,1768267379,264,-42,7960,95,83,-28,141.09,0.0,-1.98,1
30,1768267379,264,6,7972,100,88,-26,141.09,0.03,-1.98,1
31,1768267379,246,-20,8010,98,84,-26,141.09,0.02,-1.96,1
32,1768267379,294,-20,7996,102,79,-25,141.09,0.01,-2.0,1
33,1768267379,308,2,8008,102,83,-26,141.09,0.04,-2.06,1
34,1768267379,258,12,8006,102,83,-30,141.09,0.07,-2.04,1
35,1768267379,290,-26,7974,101,83,-25,141.09,0.04,-2.07,1
36,1768267379,314,-2,7982,103,83,-29,141.09,0.05,-2.12,1
37,1768267379,260,-30,7980,104,85,-27,141.09,0.03,-2.09,1
38,1768267379,296,-36,7974,100,83,-31,141.09,0.0,-2.12,1
39,1768267379,262,4,7978,104,82,-31,141.09,0.02,-2.09,1
40,1768267379,282,-8,7964,100,85,-30,141.09,0.03,-2.1,1
41,1768267379,308,-28,8016,95,76,-27,141.09,0.01,-2.14,1
42,1768267379,260,28,8016,105,83,-29,141.09,0.07,-2.1,1
43,1768267379,268,-6,8012,102,82,-25,141.09,0.07,-2.08,1
44,1768267379,272,-18,8060,100,78,-22,141.09,0.05,-2.07,1
45,1768267379,234,-2,7938,104,85,-30,141.09,0.07,-2.01,1
46,1768267379,282,-6,8032,94,90,-27,141.09,0.07,-2.03,1
47,1768267379,266,-14,7938,99,78,-28,141.09,0.06,-2.03,1
48,1768267379,250,22,7992,106,87,-30,141.09,0.1,-2.0,1
49,1768267379,256,-12,8038,98,82,-29,141.09,0.09,-1.99,1
50,1768267379,286,-32,8016,100,80,-29,141.09,0.05,-2.02,1
51,1768267379,252,18,7996,104,82,-31,141.09,0.09,-1.99,1
52,1768267379,334,-36,7988,95,82,-30,141.09,0.04,-2.09,1
53,1768267379,296,4,7994,99,80,-26,134.16,0.06,-2.12,1
54,1768267379,276,22,8010,107,85,-25,134.16,0.11,-2.11,1
55,1768267379,264,8,8030,99,80,-30,134.16,0.12,-2.08,1
56,1768267379,302,-18,7966,102,79,-24,134.16,0.09,-2.12,1
57,1768267379,260,10,7968,99,79,-28,134.16,0.11,-2.09,1
58,1768267379,280,-26,7996,95,82,-26,134.16,0.07,-2.09,1
59,1768267379,296,-4,8006,98,79,-21,134.16,0.08,-2.11,1
60,1768267379,254,-28,7992,103,84,-20,134.16,0.05,-2.07,1
61,1768267379,280,-26,8018,99,80,-29,134.16,0.02,-2.08,1
62,1768267379,246,-32,7992,101,84,-23,134.16,0.0,-2.03,1
63,1768267379,302,20,7996,99,84,-27,134.16,0.05,-2.08,1
64,1768267379,296,-16,7984,99,79,-25,134.16,0.04,-2.11,1
65,1768267379,270,4,8010,101,86,-27,134.16,0.06,-2.09,1
66,1768267379,278,-20,8054,101,81,-26,134.16,0.04,-2.09,1
67,1768267379,298,-20,7988,105,77,-22,134.16,0.03,-2.11,1
68,1768267379,252,-26,8010,97,80,-23,134.16,0.01,-2.07,1
69,1768267379,266,-2,7998,95,78,-24,134.16,0.03,-2.06,1
70,1768267379,280,-34,7982,101,82,-31,134.16,0.0,-2.07,1
71,1768267380,234,-16,8034,104,79,-30,134.16,0.0,-2.0,1
72,1768267380,272,46,7948,102,84,-26,134.16,0.09,-2.01,1
73,1768267380,282,-70,8002,102,84,-26,134.16,0.0,-2.04,1
74,1768267380,274,-24,7984,98,81,-28,134.16,-0.01,-2.04,1
75,1768267380,314,48,7980,101,81,-31,134.16,0.08,-2.1,1
76,1768267380,292,-22,7948,99,80,-30,134.16,0.06,-2.12,1
77,1768267380,242,10,8044,103,74,-31,134.16,0.08,-2.06,1
78,1768267380,252,18,7986,104,82,-28,137.54,0.12,-2.03,1
79,1768267380,290,-26,7972,100,81,-24,137.54,0.08,-2.06,1
80,1768267380,290,-4,7976,96,76,-27,137.54,0.08,-2.08,1
81,1768267380,236,16,7972,104,84,-28,137.54,0.11,-2.02,1
82,1768267380,268,-28,7984,101,80,-21,137.54,0.07,-2.02,1
83,1768267380,280,8,7984,96,80,-27,137.54,0.09,-2.04,1
84,1768267380,238,22,7968,100,76,-29,137.54,0.13,-1.99,1
85,1768267380,248,-4,7994,103,82,-32,137.54,0.12,-1.97,1
86,1768267380,288,-22,7994,101,76,-29,137.54,0.09,-2.0,1
87,1768267380,270,30,7972,105,87,-25,137.54,0.14,-2.01,1
88,1768267380,262,-24,8048,100,81,-23,137.54,0.1,-2.0,1
89,1768267380,298,-2,8004,100,81,-27,137.54,0.1,-2.05,1
90,1768267380,272,24,7986,97,75,-26,137.54,0.14,-2.04,1
91,1768267380,274,-2,8024,98,79,-25,137.54,0.13,-2.04,1
92,1768267380,286,-36,8010,97,76,-30,137.54,0.08,-2.06,1
93,1768267380,284,-8,8028,96,78,-28,137.54,0.07,-2.07,1
94,1768267380,302,2,7964,103,85,-29,137.54,0.08,-2.11,1
95,1768267380,274,-26,8004,101,79,-31,137.54,0.05,-2.1,1
96,1768267380,236,8,8002,96,81,-28,137.54,0.08,-2.04,1
97,1768267380,272,44,7996,102,79,-25,137.54,0.15,-2.04,1
98,1768267380,304,-22,7998,98,83,-27,137.54,0.11,-2.08,1
99,1768267380,278,-28,8030,94,77,-27,137.54,0.07,-2.08,1
100,1768267380,288,40,7986,104,86,-31,137.54,0.14,-2.1,1
101,1768267380,254,-6,7968,104,87,-29,137.54,0.13,-2.06,1
102,1768267380,302,-30,8032,98,80,-28,137.54,0.08,-2.1,1
103,1768267380,276,-10,7986,103,83,-26,135.76,0.07,-2.1,1
104,1768267380,264,10,7978,103,85,-28,135.76,0.1,-2.08,1
105,1768267380,290,-20,7990,98,80,-24,135.76,0.07,-2.09,1
106,1768267380,252,8,8036,103,82,-30,135.76,0.09,-2.05,1
107,1768267380,266,22,7980,102,82,-26,135.76,0.13,-2.04,1
108,1768267380,296,-48,8006,102,78,-26,135.76,0.06,-2.08,1
109,1768267380,252,0,8026,99,80,-26,135.76,0.07,-2.04,1
110,1768267380,232,12,8020,101,83,-25,135.76,0.1,-1.98,1
111,1768267380,236,0,8012,101,81,-28,135.76,0.1,-1.94,1
112,1768267380,288,-44,7992,96,85,-24,135.76,0.04,-1.99,1
113,1768267380,304,-14,7980,102,81,-26,135.76,0.04,-2.04,1
114,1768267380,288,-8,7996,103,85,-26,135.76,0.04,-2.07,1
115,1768267380,302,-4,7998,93,76,-27,135.76,0.05,-2.1,1
116,1768267380,282,18,8042,99,81,-22,135.76,0.09,-2.1,1
117,1768267380,252,4,8010,102,78,-25,135.76,0.1,-2.06,1
118,1768267380,296,8,8014,100,82,-27,135.76,0.12,-2.09,1
119,1768267380,256,2,7992,97,81,-23,135.76,0.12,-2.06,1
120,1768267380,250,-14,8000,99,83,-27,135.76,0.1,-2.02,1
121,1768267381,258,-10,8022,104,79,-27,135.76,0.09,-2.01,1
122,1768267381,252,-54,8044,99,79,-29,135.76,0.02,-1.98,1
123,1768267381,278,16,8028,103,78,-23,135.76,0.06,-2.0,1
124,1768267381,320,30,7978,105,83,-26,135.76,0.12,-2.08,1
125,1768267381,306,-48,7994,101,82,-26,135.76,0.05,-2.12,1
126,1768267381,222,-6,8000,98,81,-29,135.76,0.05,-2.03,1
127,1768267381,258,-14,7946,104,85,-25,135.76,0.05,-2.02,1
128,1768267381,272,-38,8040,97,82,-28,145.33,0.01,-2.02,1
129,1768267381,318,-12,7946,98,82,-27,145.33,0.01,-2.09,1
130,1768267381,262,24,8012,101,80,-23,145.33,0.07,-2.07,1
131,1768267381,282,-14,8026,98,79,-25,145.33,0.06,-2.08,1
132,1768267381,278,8,7982,101,81,-28,145.33,0.08,-2.08,1
133,1768267381,262,12,8008,99,81,-27,145.33,0.1,-2.06,1
134,1768267381,260,30,7930,104,83,-31,145.33,0.15,-2.04,1
135,1768267381,292,-10,8014,100,86,-25,145.33,0.13,-2.07,1
136,1768267381,284,-32,7998,98,84,-21,145.33,0.08,-2.08,1
137,1768267381,254,-8,8020,105,82,-26,145.33,0.08,-2.05,1
138,1768267381,256,14,8000,99,81,-25,145.33,0.11,-2.02,1
139,1768267381,254,-30,7992,98,81,-27,145.33,0.06,-2.0,1
140,1768267381,242,-10,7970,98,76,-26,145.33,0.06,-1.97,1
141,1768267381,250,-4,7970,100,81,-29,145.33,0.07,-1.95,1
142,1768267381,274,2,7952,102,80,-31,145.33,0.08,-1.97,1
143,1768267381,288,-8,7972,95,80,-27,145.33,0.07,-2.01,1
144,1768267381,300,14,8008,100,81,-22,145.33,0.1,-2.06,1
145,1768267381,274,22,7954,105,82,-27,145.33,0.14,-2.06,1
146,1768267381,286,-18,7962,98,81,-25,145.33,0.11,-2.08,1
147,1768267381,264,-20,8006,101,82,-26,145.33,0.08,-2.06,1
148,1768267381,278,28,7986,103,80,-23,145.33,0.13,-2.06,1
149,1768267381,262,-26,7978,99,81,-30,145.33,0.09,-2.05,1
150,1768267381,284,-26,7978,98,70,-25,145.33,0.06,-2.06,1
151,1768267381,294,0,7936,96,77,-29,145.33,0.07,-2.09,1
152,1768267381,250,6,7984,101,84,-27,145.33,0.09,-2.05,1
153,1768267381,328,-34,7974,102,79,-28,122.82,0.04,-2.13,1
154,1768267381,288,-26,7970,100,77,-23,122.82,0.02,-2.14,1
155,1768267381,244,-26,8044,103,84,-23,122.82,0.0,-2.08,1
156,1768267381,226,10,8024,102,84,-29,122.82,0.04,-2.0,1
157,1768267381,292,-28,7974,99,76,-25,122.82,0.02,-2.04,1
158,1768267381,318,-40,8006,103,78,-23,122.82,-0.01,-2.1,1
159,1768267381,300,14,8016,101,79,-24,122.82,0.03,-2.13,1
