SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267398,270,6,8008,106,84,-25,140.52,0.04,-2.03,1
2,1768267398,262,-26,7978,102,81,-29,140.52,0.01,-2.02,1
3,1768267398,286,8,7964,99,80,-27,130.95,0.05,-2.05,1
4,1768267398,256,-42,7976,99,78,-30,130.95,0.0,-2.02,1
5,1768267398,232,20,8052,105,78,-28,130.95,0.05,-1.97,1
6,1768267398,288,-12,8016,104,76,-31,130.95,0.05,-2.0,1
7,1768267398,216,-24,7972,103,77,-29,130.95,0.03,-1.93,1
8,1768267398,302,6,8056,97,69,-24,130.95,0.05,-1.99,1
9,1768267398,278,0,8010,102,79,-19,130.95,0.07,-2.01,1
10,1768267398,288,-54,7984,99,75,-22,130.95,0.0,-2.04,1
11,1768267398,222,-56,8002,99,82,-24,130.95,-0.05,-1.97,1
12,1768267398,276,-2,8036,96,82,-35,130.95,-0.02,-1.99,1
13,1768267398,278,74,7996,101,83,-32,130.95,0.11,-2.01,1
14,1768267398,246,76,7982,102,76,-24,130.95,0.22,-1.98,1
15,1768267398,268,-50,8020,101,78,-18,130.95,0.13,-1.98,1
16,1768267398,278,-48,8018,101,81,-23,130.95,0.06,-2.0,1
17,1768267398,258,-76,8026,98,78,-28,130.95,-0.03,-1.99,1
18,1768267398,250,42,8020,107,84,-34,130.95,0.05,-1.97,1
19,1768267398,290,40,8004,99,76,-30,130.95,0.12,-2.01,1
20,1768267398,278,6,7938,97,78,-27,130.95,0.13,-2.02,1
21,1768267399,282,-10,8032,102,75,-21,130.95,0.11,-2.04,1
22,1768267399,242,-44,8084,107,87,-22,130.95,0.05,-1.99,1
23,1768267399,304,-120,8060,95,82,-26,130.95,-0.1,-2.05,1
24,1768267399,322,22,8028,96,83,-40,130.95,-0.02,-2.12,1
25,1768267399,298,38,7936,98,78,-29,130.95,0.05,-2.14,1
26,1768267399,228,10,8032,98,82,-26,130.95,0.08,-2.06,1
27,1768267399,272,-78,7976,94,88,-21,130.95,-0.02,-2.06,1
28,1768267399,256,-44,7992,102,85,-26,150.36,-0.05,-2.03,1
29,1768267399,290,-10,7984,97,79,-30,150.36,-0.03,-2.06,1
30,1768267399,258,84,7946,100,72,-23,150.36,0.11,-2.04,1
31,1768267399,264,6,7992,99,80,-17,150.36,0.12,-2.03,1
32,1768267399,228,-58,8008,97,80,-20,150.36,0.04,-1.97,1
33,1768267399,252,-74,7976,105,87,-27,150.36,-0.04,-1.95,1
34,1768267399,278,2,7962,100,76,-29,150.36,-0.01,-1.98,1
35,1768267399,276,46,7964,100,82,-28,150.36,0.08,-2.0,1
36,1768267399,260,42,8028,101,74,-25,150.36,0.15,-1.99,1
37,1768267399,246,-28,8066,102,83,-20,150.36,0.1,-1.96,1
38,1768267399,286,-100,8052,90,79,-25,150.36,-0.03,-1.99,1
39,1768267399,242,0,8026,99,77,-34,150.36,0.0,-1.96,1
