SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267338,290,-16,8002,101,79,-27,134.45,0.09,-2.13,1
2,1768267338,298,-42,8018,98,80,-22,134.45,0.04,-2.15,1
3,1768267338,264,-18,8008,101,78,-22,137.73,0.03,-2.11,1
4,1768267338,228,4,8002,102,83,-24,137.73,0.05,-2.04,1
5,1768267338,274,-12,7960,100,87,-24,137.73,0.05,-2.04,1
6,1768267338,274,-34,8050,95,74,-24,137.73,0.01,-2.04,1
7,1768267338,284,20,8012,96,80,-25,137.73,0.06,-2.06,1
8,1768267338,258,8,7936,103,85,-27,137.73,0.08,-2.04,1
9,1768267338,296,-20,7982,98,82,-30,137.73,0.06,-2.07,1
10,1768267338,302,-14,8040,101,76,-23,137.73,0.05,-2.11,1
11,1768267338,300,-4,7962,106,82,-28,137.73,0.06,-2.14,1
12,1768267338,284,6,7948,100,80,-28,137.73,0.08,-2.14,1
13,1768267338,280,-24,7974,97,82,-27,137.73,0.05,-2.13,1
14,1768267338,260,-2,8002,100,74,-21,137.73,0.06,-2.09,1
15,1768267338,256,18,7976,104,79,-23,137.73,0.1,-2.06,1
16,1768267338,272,-60,7988,103,84,-23,137.73,0.02,-2.06,1
17,1768267338,282,-38,8014,93,84,-22,137.73,-0.01,-2.07,1
18,1768267338,290,30,8000,107,77,-21,137.73,0.05,-2.09,1
19,1768267338,260,14,8002,103,79,-27,137.73,0.09,-2.06,1
20,1768267338,324,-52,7932,101,81,-24,137.73,0.02,-2.14,1
21,1768267339,298,-4,8020,98,84,-30,137.73,0.03,-2.15,1
22,1768267339,250,30,8034,101,86,-23,137.73,0.09,-2.1,1
23,1768267339,272,-16,8036,99,83,-27,137.73,0.07,-2.09,1
24,1768267339,266,-60,7982,102,85,-26,137.73,0.0,-2.07,1
25,1768267339,254,-32,8028,102,82,-31,137.73,-0.01,-2.04,1
26,1768267339,252,6,8004,100,85,-25,137.73,0.01,-2.01,1
27,1768267339,306,-6,7984,94,84,-26,137.73,0.02,-2.07,1
28,1768267339,278,-24,8026,97,79,-27,136.33,0.01,-2.07,1
29,1768267339,276,0,7990,103,77,-24,136.33,0.03,-2.07,1
30,1768267339,270,-6,7998,102,82,-23,136.33,0.04,-2.06,1
31,1768267339,264,-30,8016,102,82,-28,136.33,0.01,-2.04,1
32,1768267339,278,16,7986,104,76,-28,136.33,0.06,-2.05,1
33,1768267339,272,10,7936,102,81,-26,136.33,0.08,-2.05,1
34,1768267339,306,22,7986,98,83,-25,136.33,0.12,-2.1,1
35,1768267339,268,2,8042,96,82,-25,136.33,0.12,-2.08,1
36,1768267339,280,-4,7974,101,85,-29,136.33,0.12,-2.09,1
37,1768267339,320,-18,8004,101,85,-22,136.33,0.09,-2.15,1
38,1768267339,264,6,8020,106,83,-25,136.33,0.11,-2.11,1
39,1768267339,264,16,8030,102,82,-26,136.33,0.13,-2.09,1
40,1768267339,270,-30,7964,100,83,-26,136.33,0.09,-2.08,1
41,1768267339,258,0,8028,97,79,-25,136.33,0.09,-2.05,1
42,1768267339,270,2,8034,100,77,-29,136.33,0.1,-2.04,1
43,1768267339,272,20,8002,104,84,-27,136.33,0.13,-2.04,1
44,1768267339,308,-20,7960,100,79,-29,136.33,0.1,-2.1,1
45,1768267339,328,10,7958,99,79,-25,136.33,0.12,-2.17,1
46,1768267339,246,38,7978,105,84,-25,136.33,0.17,-2.11,1
47,1768267339,272,-36,7958,103,83,-23,136.33,0.11,-2.1,1
48,1768267339,308,-44,8018,97,77,-26,136.33,0.05,-2.13,1
49,1768267339,302,36,7990,107,85,-20,136.33,0.12,-2.16,1
50,1768267339,278,-10,7974,102,88,-25,136.33,0.1,-2.15,1
51,1768267339,260,-18,8000,100,79,-25,136.33,0.08,-2.11,1
52,1768267339,282,-8,8090,105,82,-25,136.33,0.08,-2.11,1
53,1768267339,278,-8,7918,103,83,-24,134.86,0.07,-2.11,1
54,1768267339,266,-16,8018,97,80,-27,134.86,0.06,-2.08,1
55,1768267339,276,-16,8034,102,77,-25,134.86,0.05,-2.08,1
56,1768267339,276,10,8062,105,83,-26,134.86,0.08,-2.07,1
57,1768267339,272,-64,7958,104,82,-26,134.86,0.0,-2.07,1
58,1768267339,304,-54,8002,99,85,-22,134.86,-0.05,-2.11,1
59,1768267339,274,64,8018,103,80,-30,134.86,0.07,-2.1,1
60,1768267339,264,-2,7998,101,85,-28,134.86,0.08,-2.08,1
61,1768267339,276,0,7988,97,77,-26,134.86,0.08,-2.07,1
62,1768267339,280,22,7998,98,82,-26,134.86,0.12,-2.08,1
63,1768267339,284,20,8024,103,84,-25,134.86,0.15,-2.09,1
64,1768267339,286,-20,7982,99,82,-27,134.86,0.11,-2.1,1
65,1768267339,276,-24,8006,103,81,-27,134.86,0.08,-2.09,1
66,1768267339,298,38,8018,99,82,-28,134.86,0.14,-2.12,1
67,1768267339,298,-2,7966,99,82,-25,134.86,0.13,-2.14,1
68,1768267339,296,-28,8010,101,77,-28,134.86,0.09,-2.16,1
69,1768267339,254,2,7954,101,85,-27,134.86,0.1,-2.11,1
70,1768267339,260,-4,8048,99,82,-28,134.86,0.1,-2.08,1
71,1768267340,290,10,8020,97,78,-27,134.86,0.11,-2.09,1
72,1768267340,290,18,7946,98,79,-22,134.86,0.14,-2.11,1
73,1768267340,282,18,7958,102,83,-27,134.86,0.16,-2.11,1
74,1768267340,280,-64,8022,103,78,-27,134.86,0.06,-2.11,1
75,1768267340,230,4,8008,101,81,-28,134.86,0.08,-2.04,1
76,1768267340,266,-4,8022,105,82,-30,134.86,0.08,-2.03,1
77,1768267340,294,-32,7996,99,79,-29,134.86,0.04,-2.06,1
78,1768267340,298,42,8022,98,79,-25,143.78,0.12,-2.09,1
79,1768267340,258,32,7978,103,87,-25,143.78,0.16,-2.06,1
80,1768267340,266,-48,8006,99,81,-29,143.78,0.09,-2.05,1
81,1768267340,294,18,8018,106,83,-28,143.78,0.12,-2.08,1
82,1768267340,262,-20,8020,110,84,-28,143.78,0.09,-2.06,1
83,1768267340,266,4,7986,98,77,-27,143.78,0.1,-2.05,1
84,1768267340,284,-14,8008,98,80,-28,143.78,0.09,-2.06,1
85,1768267340,262,8,7950,103,80,-28,143.78,0.1,-2.05,1
86,1768267340,296,0,7918,98,84,-27,143.78,0.11,-2.08,1
87,1768267340,310,-42,7972,97,75,-27,143.78,0.05,-2.13,1
88,1768267340,292,18,8008,102,81,-27,143.78,0.09,-2.14,1
