SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768327754,602,3694,7204,158,65,78,178.84,27.5,-3.99,12
2,1768327705,-1486,2870,7094,673,-7872,-150,-51.93,31.84,39.72,11
3,1768327705,712,2430,7180,-4938,1650,-2236,-51.93,27.98,30.24,11
4,1768327705,-194,-1094,5904,-7499,14611,-7192,257.35,18.46,21.0,11
5,1768327705,-332,58,5060,-5813,-3342,4123,257.35,13.48,18.36,11
6,1768327705,1228,-706,6372,-431,-4203,-3412,257.35,9.43,13.53,11
7,1768327705,14546,-1204,-58,-129,-1046,-3418,257.35,6.57,-6.95,11
8,1768327705,1722,-844,9030,356,-224,6669,257.35,4.29,-7.67,12
9,1768327705,750,-126,7308,187,54,2505,257.35,3.28,-7.32,12
10,1768327705,396,142,7930,72,117,-1371,257.35,2.85,-6.45,12
11,1768327705,340,330,7968,19,105,-1272,257.35,2.75,-5.68,12
12,1768327706,362,226,8046,110,73,166,257.35,2.55,-5.07,12
13,1768327706,362,214,7636,44,-82,975,257.35,2.37,-4.58,12
14,1768327706,294,406,8082,133,152,-79,257.35,2.5,-4.12,12
15,1768327706,524,142,7922,95,81,-31,257.35,2.23,-4.07,12
16,1768327706,422,166,7990,99,89,-30,257.35,2.04,-3.88,12
17,1768327706,430,156,7972,95,77,-32,257.35,1.88,-3.74,12
18,1768327706,422,188,7984,98,81,-30,257.35,1.8,-3.62,12
19,1768327706,310,234,8034,98,91,-19,257.35,1.79,-3.36,12
20,1768327706,342,140,7998,94,86,-28,257.35,1.66,-3.19,12
21,1768327706,354,196,8052,96,79,-29,257.35,1.63,-3.08,12
22,1768327707,326,186,7972,101,92,-28,257.35,1.59,-2.95,12
23,1768327707,332,104,7958,105,89,-28,257.35,1.45,-2.86,12
24,1768327707,320,138,8058,102,89,-24,257.35,1.38,-2.76,12
25,1768327707,396,150,7986,88,80,-25,257.35,1.34,-2.8,12
26,1768327707,318,172,8028,98,92,-21,257.35,1.34,-2.71,12
27,1768327707,350,204,8024,102,85,-28,257.35,1.39,-2.69,12
28,1768327707,354,148,8104,92,78,-24,257.35,1.34,-2.67,12
29,1768327707,338,170,8010,95,79,-29,-272.64,1.34,-2.64,12
30,1768327707,442,236,7896,100,75,-31,-272.64,1.43,-2.77,12
31,1768327707,352,182,8038,100,88,-27,-272.64,1.43,-2.74,12
32,1768327708,344,162,8010,96,78,-29,-272.64,1.4,-2.7,12
33,1768327708,352,172,8046,96,83,-30,-272.64,1.39,-2.68,12
